
Running UTF8 validation benchmark.
The speed is normalized by the number of input bytes.
file: examples/hongkong.html (1807KB)
                                  memcpy                                   0.000 ins/byte,    0.001 branch miss/kbyte,      3.696 GHz,   30.452 GB/s 
                                  fushia                                   6.669 ins/byte,    8.243 branch miss/kbyte,      3.692 GHz,    1.577 GB/s 
                                     dfa                                   9.000 ins/byte,    0.003 branch miss/kbyte,      3.691 GHz,    0.615 GB/s 
                                    dfa2                                   7.500 ins/byte,    0.002 branch miss/kbyte,      3.692 GHz,    1.229 GB/s 
                                    dfa3                                   7.000 ins/byte,    0.003 branch miss/kbyte,      3.692 GHz,    1.826 GB/s 
                                    dfa4                                   9.000 ins/byte,    0.010 branch miss/kbyte,      3.688 GHz,    0.613 GB/s 
                              zwegneravx                                   0.423 ins/byte,    4.057 branch miss/kbyte,      3.693 GHz,   14.328 GB/s 
                              lookup2avx                                   0.421 ins/byte,    2.749 branch miss/kbyte,      3.693 GHz,   15.708 GB/s 
                              lookup3avx                                   0.425 ins/byte,    2.697 branch miss/kbyte,      3.693 GHz,   15.996 GB/s 
                                basicavx                                   0.590 ins/byte,    2.708 branch miss/kbyte,      3.693 GHz,   12.731 GB/s 
                                rangeavx                                   0.521 ins/byte,    2.687 branch miss/kbyte,      3.693 GHz,   14.019 GB/s 
file: examples/twitter.json (631KB)
                                  memcpy                                   0.000 ins/byte,    0.000 branch miss/kbyte,      3.697 GHz,   31.499 GB/s 
                                  fushia                                   7.209 ins/byte,    4.507 branch miss/kbyte,      3.692 GHz,    1.583 GB/s 
                                     dfa                                   9.000 ins/byte,    0.010 branch miss/kbyte,      3.692 GHz,    0.615 GB/s 
                                    dfa2                                   7.500 ins/byte,    0.008 branch miss/kbyte,      3.692 GHz,    1.229 GB/s 
                                    dfa3                                   7.000 ins/byte,    0.013 branch miss/kbyte,      3.692 GHz,    1.823 GB/s 
                                    dfa4                                   9.000 ins/byte,    0.017 branch miss/kbyte,      3.678 GHz,    0.600 GB/s 
                              zwegneravx                                   0.444 ins/byte,    0.551 branch miss/kbyte,      3.702 GHz,   22.932 GB/s 
                              lookup2avx                                   0.409 ins/byte,    0.694 branch miss/kbyte,      3.701 GHz,   21.700 GB/s 
                              lookup3avx                                   0.413 ins/byte,    0.540 branch miss/kbyte,      3.701 GHz,   22.558 GB/s 
                                basicavx                                   0.570 ins/byte,    0.532 branch miss/kbyte,      3.697 GHz,   16.924 GB/s 
                                rangeavx                                   0.505 ins/byte,    0.697 branch miss/kbyte,      3.699 GHz,   18.518 GB/s 

Running UTF8 validation benchmark.
The speed is normalized by the number of input bytes.
Input size: (UTF8) 16384
- ASCII characters
                                  memcpy                                   0.016 ins/byte,    0.061 branch miss/kbyte,      4.093 GHz,   34.568 GB/s 
                                  fushia                                   6.014 ins/byte,    0.305 branch miss/kbyte,      3.721 GHz,    1.840 GB/s 
                                     dfa                                   9.015 ins/byte,    0.366 branch miss/kbyte,      3.700 GHz,    0.615 GB/s 
                                    dfa2                                   7.516 ins/byte,    0.366 branch miss/kbyte,      3.711 GHz,    1.227 GB/s 
                                    dfa3                                   7.017 ins/byte,    0.244 branch miss/kbyte,      3.713 GHz,    1.573 GB/s 
                                    dfa4                                   9.017 ins/byte,    0.488 branch miss/kbyte,      3.703 GHz,    0.615 GB/s 
                              zwegneravx                                   0.270 ins/byte,    0.122 branch miss/kbyte,      4.131 GHz,   38.283 GB/s 
